Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x02_Pin,JST_ACH_BM02B-ACHSS-GAN-ETF_1x02-1MP_P1.20mm_Vertical,-92.0,-6.0,270.0,bottom
J2,Conn_01x02_Pin,JST_ACH_BM02B-ACHSS-GAN-ETF_1x02-1MP_P1.20mm_Vertical,92.0,-6.0,90.0,bottom
LCH1,ChocHS,SW_choc_v1_HS_MBK,-107.0,28.0,0.0,bottom
LCH2,ChocHS,SW_choc_v1_HS_MBK,-89.0,34.0,180.0,bottom
LCH3,ChocHS,SW_choc_v1_HS_MBK,-71.0,39.0,180.0,bottom
LCH4,ChocHS,SW_choc_v1_HS_MBK,-53.0,36.0,0.0,bottom
LCH5,ChocHS,SW_choc_v1_HS_MBK,-35.0,34.0,0.0,bottom
LCH6,ChocHS,SW_choc_v1_HS_MBK,-107.0,11.0,0.0,bottom
LCH7,ChocHS,SW_choc_v1_HS_MBK,-89.0,17.0,0.0,bottom
LCH8,ChocHS,SW_choc_v1_HS_MBK,-71.0,22.0,0.0,bottom
LCH9,ChocHS,SW_choc_v1_HS_MBK,-53.0,19.0,0.0,bottom
LCH10,ChocHS,SW_choc_v1_HS_MBK,-35.0,17.0,0.0,bottom
LCH11,ChocHS,SW_choc_v1_HS_MBK,-107.0,-6.0,0.0,bottom
LCH12,ChocHS,SW_choc_v1_HS_MBK,-89.0,-0.0,180.0,bottom
LCH13,ChocHS,SW_choc_v1_HS_MBK,-71.0,5.0,180.0,bottom
LCH14,ChocHS,SW_choc_v1_HS_MBK,-53.0,2.0,180.0,bottom
LCH15,ChocHS,SW_choc_v1_HS_MBK,-35.0,-0.0,0.0,bottom
LCH16,ChocHS,SW_choc_v1_HS_MBK,-32.250975,-21.599948,25.0,bottom
LCH17,ChocHS,SW_choc_v1_HS_MBK,-17.627908,-32.832308,205.0,bottom
LD1,D,D_SOD-123,-47.0,46.0,270.0,bottom
LD2,D,D_SOD-123,-50.0,46.0,270.0,bottom
LD3,D,D_SOD-123,-53.0,46.0,270.0,bottom
LD4,D,D_SOD-123,-44.0,46.0,270.0,bottom
LD5,D,D_SOD-123,-41.0,46.0,270.0,bottom
LD6,D,D_SOD-123,-22.0,23.0,0.0,bottom
LD7,D,D_SOD-123,-22.0,20.0,0.0,bottom
LD8,D,D_SOD-123,-22.0,17.0,0.0,bottom
LD9,D,D_SOD-123,-22.0,14.0,0.0,bottom
LD10,D,D_SOD-123,-22.0,11.0,0.0,bottom
LD11,D,D_SOD-123,-88.0,-13.0,90.0,bottom
LD12,D,D_SOD-123,-85.0,-13.0,90.0,bottom
LD13,D,D_SOD-123,-68.0,1.5,90.0,bottom
LD14,D,D_SOD-123,-65.0,1.5,90.0,bottom
LD15,D,D_SOD-123,-62.0,1.5,90.0,bottom
LD16,D,D_SOD-123,-22.0,-3.0,0.0,bottom
LD17,D,D_SOD-123,-22.0,-6.5,0.0,bottom
PSW1,SW_SPDT,SW_MSK12C02-HB,-116.45,16.0,270.0,bottom
PSW2,SW_SPDT,SW_MSK12C02-HB,116.45,16.0,90.0,bottom
RCH1,ChocHS,SW_choc_v1_HS_MBK,35.0,34.0,0.0,bottom
RCH2,ChocHS,SW_choc_v1_HS_MBK,53.0,36.0,0.0,bottom
RCH3,ChocHS,SW_choc_v1_HS_MBK,71.0,39.0,0.0,bottom
RCH4,ChocHS,SW_choc_v1_HS_MBK,89.0,34.0,0.0,bottom
RCH5,ChocHS,SW_choc_v1_HS_MBK,107.0,28.0,0.0,bottom
RCH6,ChocHS,SW_choc_v1_HS_MBK,35.0,17.0,0.0,bottom
RCH7,ChocHS,SW_choc_v1_HS_MBK,53.0,19.0,0.0,bottom
RCH8,ChocHS,SW_choc_v1_HS_MBK,71.0,22.0,0.0,bottom
RCH9,ChocHS,SW_choc_v1_HS_MBK,89.0,17.0,0.0,bottom
RCH10,ChocHS,SW_choc_v1_HS_MBK,107.0,11.0,0.0,bottom
RCH11,ChocHS,SW_choc_v1_HS_MBK,35.0,-0.0,0.0,bottom
RCH12,ChocHS,SW_choc_v1_HS_MBK,53.0,2.0,180.0,bottom
RCH13,ChocHS,SW_choc_v1_HS_MBK,71.0,5.0,180.0,bottom
RCH14,ChocHS,SW_choc_v1_HS_MBK,89.0,-0.0,180.0,bottom
RCH15,ChocHS,SW_choc_v1_HS_MBK,107.0,-6.0,0.0,bottom
RCH16,ChocHS,SW_choc_v1_HS_MBK,17.627908,-32.832308,155.0,bottom
RCH17,ChocHS,SW_choc_v1_HS_MBK,32.250975,-21.599948,155.0,bottom
RD1,D,D_SOD-123,65.0,45.0,270.0,bottom
RD2,D,D_SOD-123,68.4,45.0,270.0,bottom
RD3,D,D_SOD-123,71.4,45.0,270.0,bottom
RD4,D,D_SOD-123,74.4,45.0,270.0,bottom
RD5,D,D_SOD-123,77.4,45.0,270.0,bottom
RD6,D,D_SOD-123,63.0,27.0,270.0,bottom
RD7,D,D_SOD-123,66.0,27.0,270.0,bottom
RD8,D,D_SOD-123,69.0,27.0,270.0,bottom
RD9,D,D_SOD-123,72.0,27.0,270.0,bottom
RD10,D,D_SOD-123,75.0,27.0,270.0,bottom
RD11,D,D_SOD-123,41.5,-10.0,90.0,bottom
RD12,D,D_SOD-123,44.5,-10.0,90.0,bottom
RD13,D,D_SOD-123,82.0,-13.5,90.0,bottom
RD14,D,D_SOD-123,85.0,-13.5,90.0,bottom
RD15,D,D_SOD-123,88.0,-13.5,90.0,bottom
RD16,D,D_SOD-123,45.0,-19.5,0.0,bottom
RD17,D,D_SOD-123,45.0,-16.5,0.0,bottom
